Site,Round,High Seed in Game,Probability High Seed Wins,Date Recorded,Time Recorded,Result,Notes
ESPN BPI,1,Ohio St,0.83,3/16,16:19,1,
ESPN BPI,1,Missouri,0.55,3/16,16:19,0,
ESPN BPI,1,Syracuse,0.59,3/16,16:19,0,
ESPN BPI,1,UCLA,0.88,3/16,16:19,1,
ESPN BPI,1,Arizona St,0.59,3/16,16:19,1,
ESPN BPI,1,Stanford,0.65,3/16,16:19,1,
ESPN BPI,1,Miss St,0.99,3/16,16:19,1,
ESPN BPI,1,Iowa,0.64,3/16,16:19,0,
ESPN BPI,1,Texas,0.87,3/16,16:19,1,
Bing,1,Depaul,0.68,3/16,11:28,1,
Bing,1,Lousville,0.74,3/16,11:28,1,
Bing,1,Oregon St,0.68,3/16,11:28,1,
Bing,1,Maryland,0.64,3/16,11:28,1,
Bing,1,Texas A&M,0.57,3/16,11:28,1,
Bing,1,Marquette,0.66,3/16,11:28,1,
Bing,1,Tenn,0.7,3/16,11:28,1,
Bing,1,NC State,0.62,3/16,11:28,1,
Bing,1,Cal,0.68,3/16,16:13,0,
Bing,1,Notre Dame,0.74,3/16,16:13,1,
Bing,1,Green Bay,0.59,3/16,16:13,0,
Bing,1,Michigan,0.67,3/16,16:13,1,
Bing,1,S Carolina,0.74,3/16,16:13,1,
Bing,1,S Dakota St,0.61,3/16,16:13,0,
Bing,1,Oregon,0.74,3/16,16:13,1,
Bing,1,Baylor,0.74,3/16,16:13,1,
Bing,1,UConn,0.69,3/16,16:19,1,
Bing,1,Duke,0.38,3/16,16:19,1,
Bing,1,Florida St,0.67,3/16,16:19,1,
Bing,1,LSU,0.42,3/16,16:19,0,
Bing,1,Miami,0.4,3/16,16:19,0,
Bing,1,Georgia,0.64,3/16,16:19,1,
Bing,1,S Florida,0.66,3/16,16:19,0,
Bing,1,Ohio St,0.7,3/16,16:19,1,
Bing,1,Missouri,0.49,3/16,16:19,0,
Bing,1,Syracuse,0.48,3/16,16:19,0,
Bing,1,UCLA,0.74,3/16,16:19,1,
Bing,1,Arizona St,0.55,3/16,16:19,1,
Bing,1,Stanford,0.58,3/16,16:19,1,
Bing,1,Miss St,0.74,3/16,16:19,1,
Bing,1,Iowa,0.7,3/16,16:19,0,
Bing,1,Texas,0.73,3/16,16:19,1,
Bing,2,Lousville,0.71,3/18,11:52,1,
Bing,2,Texas A&M,0.53,3/18,11:52,1,
Bing,2,Tenn,0.63,3/18,11:52,0,
Bing,2,NC State,0.39,3/18,11:52,1,
Bing,2,Notre Dame,0.74,3/18,11:52,1,
Bing,2,Baylor,0.74,3/18,11:52,1,
Bing,2,S Carolina,0.74,3/18,11:52,1,
Bing,2,Oregon,0.7,3/18,11:52,1,
Bing,2,UConn,0.7,3/19,16:53,1,
Bing,2,Georgia,0.51,3/19,16:53,0,
Bing,2,Florida St,0.67,3/19,16:53,0,
Bing,2,Ohio St,0.53,3/19,16:53,0,
Bing,2,Stanford,0.56,3/19,16:53,1,
Bing,2,Miss St,0.68,3/19,16:53,1,
Bing,2,UCLA,0.72,3/19,16:53,1,
Bing,2,Texas,0.67,3/19,16:53,1,
Bing,3,Baylor,0.64,3/23,12:46,0,
Bing,3,Miss St,0.72,3/23,12:46,1,
Bing,3,Lousville,0.7,3/23,12:46,1,
Bing,3,Texas,0.71,3/23,12:46,0,
Bing,3,S Carolina,0.65,3/23,12:46,1,
Bing,3,UConn,0.74,3/23,12:46,1,
Bing,3,Notre Dame,0.69,3/23,12:46,1,
Bing,3,Oregon,0.52,3/23,12:46,1,
Bing,4,Lousville,0.74,3/24,17:37,1,
Bing,4,Miss St,0.73,3/24,17:37,1,
Bing,4,UConn,0.68,3/24,17:37,1,
Bing,4,Notre Dame,0.54,3/24,20:34,1,
Bing,5,UConn,0.68,3/30,11:09,0,
Bing,5,Miss St,0.53,3/30,11:09,1,
Bing,6,Miss St,0.51,4/1,15:00,0,
